name,price,url
Blonde Caramel,6.5,https://www.chocolate.co.uk/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,11.05,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,11.700000000000001,https://www.chocolate.co.uk/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,25.935,https://www.chocolate.co.uk/products/blonde-chocolate-truffles
Blonde Hot Chocolate Flakes,12.934999999999999,https://www.chocolate.co.uk/products/blonde-hot-chocolate-flakes
Bulk 41% Milk Hot Chocolate Drops 750 grams,22.75,https://www.chocolate.co.uk/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,22.75,https://www.chocolate.co.uk/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,6.5,https://www.chocolate.co.uk/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,6.5,https://www.chocolate.co.uk/products/chai-caramel-latte
Chocolate Caramelised Pecan Nuts,11.635,https://www.chocolate.co.uk/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,71.5,https://www.chocolate.co.uk/products/celebration-hamper
Christmas Cracker,6.5,https://www.chocolate.co.uk/products/christmas-cracker-chocolate-bar
Cinnamon Toast,6.5,https://www.chocolate.co.uk/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,39.0,https://www.chocolate.co.uk/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,6.5,https://www.chocolate.co.uk/products/colombian-dark-chocolate-bar
Crunchy Biscuit,6.5,https://www.chocolate.co.uk/products/crunchy-biscuit-blonde-chocolate-bar
Salted Caramels Dark Chocolate,25.935,https://www.chocolate.co.uk/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,25.935,https://www.chocolate.co.uk/products/salt-caramels-milk-chocolate
Tea & Biscuit,6.5,https://www.chocolate.co.uk/products/tea-biscuit-chocolate-bar
Tea & Biscuit Blonde Chocolate Easter Egg,35.75,https://www.chocolate.co.uk/products/pre-order-tea-biscuit-easter-egg
Velvet White,6.5,https://www.chocolate.co.uk/products/velvet-white-chocolate-bar
Pay Monthly: Box of the Month,26.0,https://www.chocolate.co.uk/products/pay-monthly-box-of-the-month
Peppermint Malt Balls,11.700000000000001,https://www.chocolate.co.uk/products/peppermint-malt-balls
Peppermint Swirl,6.5,https://www.chocolate.co.uk/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,6.5,https://www.chocolate.co.uk/products/pistachio-cranberry-chocolate-bar
Praline Quail Eggs,12.35,https://www.chocolate.co.uk/products/praline-quail-eggs
Pre-Order - Dark Chocolate Honeycomb Egg & Honeycomb (Large),32.5,https://www.chocolate.co.uk/products/hokey-pokey-large-wicked-egg-honeycomb
Pre-Order - Hokey Pokey Blondie Egg & Honeycomb (Large),32.5,https://www.chocolate.co.uk/products/hokey-pokey-large-blondie-egg-honeycomb
Pre-Order - Hokey Pokey Blondie Egg (Small),12.35,https://www.chocolate.co.uk/products/hokey-pokey-small-blondie-egg
Pre-Order - Hokey Pokey Milkey Egg (Small),12.35,https://www.chocolate.co.uk/products/hokey-pokey-small-milkey-egg
Pre-Order - Hokey Pokey Wicked Egg (Small),12.35,https://www.chocolate.co.uk/products/hokey-pokey-small-wicked-egg
Pre-Order - Milk Chocolate Honeycomb Egg & Honeycomb (Large),32.5,https://www.chocolate.co.uk/products/hokey-pokey-large-milkey-egg-honeycomb
Pretzel Caramel,6.5,https://www.chocolate.co.uk/products/pretzel-caramel-chocolate-bar
Pretzel Caramel Easter Egg & Truffles,35.75,https://www.chocolate.co.uk/products/copy-of-flat-white-coffee-easter-egg-truffles
Raspberry Pavlova White Chocolate Easter Egg,35.75,https://www.chocolate.co.uk/products/raspberry-pavlova-white-chocolate-easter-egg
Roasted Almonds,11.635,https://www.chocolate.co.uk/products/cocoa-dusted-almonds
Salt Caramel Malt Balls,11.700000000000001,https://www.chocolate.co.uk/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,11.635,https://www.chocolate.co.uk/products/salt-caramelised-hazelnuts
Salted Caramel,6.5,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,14.950000000000001,https://www.chocolate.co.uk/products/salted-caramel-florentines
Salted Caramel Quail Eggs,12.35,https://www.chocolate.co.uk/products/salted-caramel-quail-eggs
Salted Caramels Blonde Chocolate,25.935,https://www.chocolate.co.uk/products/salted-caramels-blonde-chocolate
